index,patent_id,name
44,7979331,Verifying whether a software package calculating EFC used for determining federal student financial aid is implemented according to a specification
45,7979318,"Method, system and software product for creating variable pricing"
46,7978730,Controlling software distribution or file transfer
47,7975306,Apparatus and method for monitoring secure software
48,7975264,Deploying patches in batch mode to fix errors in pre-installed software
49,7975257,Iterative static and dynamic software analysis
50,7975179,Techniques for automatic software error diagnostics
51,7975149,Software protection using data structures
52,7975107,Processor cache management with software input via an intermediary
53,7974999,Software architecture for managing a system of heterogenous network processors and for developing portable network processor applications
54,7974913,"Methods, computer systems, and software for estimating trading volume"
55,7974730,Method for the discontinuous grinding of bevel gears and corresponding software for controlling a multiaxis grinding machine
56,7974611,"Method, apparatus or software for managing a call in a telecommunications network"
57,7973978,Method of associating a software object using printed code
58,7973776,System for interaction with computer software using handwritten strokes
59,7973775,System for software interaction using handwritten signatures
60,7973774,System for software interaction using form identity
61,7971262,Protecting against software piracy
62,7971257,Obtaining network origins of potential software threats
63,7971202,Method for advanced management of software distribution tasks
64,7971201,Multiple operating device version software generating system and multiple operating device version software generation support program and method
65,7971196,Extracting information from software
66,7971187,Configurable software stack
67,7971185,System and method for supporting data driving a software process using objects of arbitrary data types
68,7971180,Method and system for evaluating multi-dimensional project plans for implementing packaged software applications
69,7971104,"Apparatus and methods for stabilization of processors, operating systems and other hardware and/or software configurations"
70,7970943,Providing interoperability in software identifier standards
71,7970709,Method and apparatus for client customization by executing software parts on plural servers
72,7970643,"Method and apparatus for implementing a personal ""get out the vote drive"" software application"
73,7970375,System and method for expiring modular software components for wireless communication devices
74,7966612,"Method, system and computer program for installing shared software components"
75,7966554,Financial disclosure content synchronizing software
76,7966526,Software event recording and analysis system and method of use thereof
77,7966520,Software licensing for spare processors
78,7966499,System and method for obscuring bit-wise and two's complement integer computations in software
79,7966453,Method and apparatus for active software disown of cache line's exlusive rights
80,7966356,Apparatus and methods for displaying and determining dependency relationships among subsystems in a computer software system
81,7966310,"Method, system, and software for correcting uniform resource locators"
82,7966239,Software-based commerce engine deployed in video game environment
83,7966111,Centralized management of motor vehicle software applications and services
84,7962907,Scheduling technique for software pipelining
85,7962896,Method and system for automatically configuring software
86,7962890,Method to assess the skill level of software development
87,7962798,"Methods, systems and media for software self-healing"
88,7962641,Streaming media software interface to a dispersed data storage network
89,7962431,Automatically controlling in-process software distributions through time prediction of a disturbance
90,7962416,Method and system to remotely enable software-based options for a trial period
91,7962410,Customizable software agents in an electronic bill presentment and payment system
92,7962348,"Apparatus, method and software for developing electronic documentation of imaging modalities, other radiological findings and physical examinations"
93,7962338,"Speech recognition apparatus, speech recognition method and recording medium having speech recognition software program recorded thereon"
94,7962314,Mechanism for profiling program software running on a processor
95,7961636,Vectorized software packet forwarding
96,7961175,System for computer software interaction using form identity
97,7961136,"Automatic dependent surveillance-broadcast (ADS-B) network infrastructure, ground station and situation display software deployment and evaluation activity"
98,7958624,Software and methods for automated pallet inspection and repair
99,7958518,Providing enhanced interactions with software services
100,7958505,Systems and methods for distributing software for a host device in a cable system
101,7958504,Distributing software features to a computer
102,7958494,Rapid on-boarding of a software factory
103,7958487,"Apparatus, system, and method for modifying an integration software template"
104,7958400,Detecting unexpected impact of software changes using coverage analysis
105,7958340,Monitoring software pipeline performance on a network on chip
106,7958319,Hardware acceleration for a software transactional memory system
107,7958207,Method of installing software for enabling a connection of a phone to an interconnected network
108,7958183,Performing collective operations using software setup and partial software execution at leaf nodes in a multi-tiered full-graph interconnect architecture
109,7958073,Software and methods for task method knowledge hierarchies
110,7958007,"Method, system, and software for geographically focused network advertising"
111,7957987,Using software agents to schedule airline flights
112,7957908,"System, method and software arrangement utilizing a multi-strip procedure that can be applied to gene characterization using DNA-array data"
113,7956474,"Structures, architectures, systems, methods, algorithms and software for configuring an integrated circuit for multiple packaging types"
114,7955766,Software-controlled maskless optical lithography using fluorescence feedback
115,7954090,Systems and methods for detecting behavioral features of software application deployments for automated deployment management
116,7954084,Software for generating a computer application code and software description language
117,7954050,Systems and methods for rendering and increasing portability of document-based user interface software objects
118,7953980,Signed manifest for run-time verification of software program identity and integrity
119,7953963,System and method for automatically loading software components
120,7953906,"Multiple interrupt handling method, devices and software"
121,7953536,Inertial sensor software architecture security method
122,7953225,Mobile wireless communications device with software installation and verification features and related methods
123,7950442,Die casting design method and software
124,7950025,Common software environment
125,7950022,Techniques for use with device drivers in a common software environment
126,7950021,Methods and systems for providing responses to software commands
127,7950019,Method and apparatus for checkpoint and restarting a stream in a software partition
128,7950010,Software deployment system
129,7950008,Software installation in multiple operating systems
130,7950004,Devices systems and methods for testing software
131,7950003,Heads-up-display software development tool for analyzing and optimizing computer software
132,7950002,Testing a software product by initiating a breakpoint and executing a probe routine
133,7949999,Providing support for multiple interface access to software services
134,7949997,Integration of software into an existing information technology (IT) infrastructure
135,7949993,Method and system for providing a visual context for software development processes
136,7949969,Designing an ASIC based on execution of a software program on a processing system
137,7949608,Enabling a software service provider to automatically obtain software service
138,7949249,Software based photoflash synchronization of camera equipped portable media device and external lighting apparatus
139,D638024,User interface for a software project system for a computer display
140,7945958,Constraint injection system for immunizing software programs against vulnerabilities and attacks
141,7945955,Virus detection in mobile devices having insufficient resources to execute virus detection software
142,7945906,Method and software tools for intelligent service pack installation
143,7945901,System and method for facilitating software profiling procedures
144,7945899,Method and system for remote software testing
145,7945898,Handling loops in programs and examining feasible software behavior for detecting malicious code
146,7945879,Method and apparatus for selecting a hardware representation from a software description
147,7945771,System and method for a software application to determine if the storage device and the operating system is an internal drive or an external drive
148,7945642,Method and system for providing software to a machine
149,7945416,Software or hardware test apparatus and method
150,7945229,Software-definable radio transceiver with MEMS filters
151,7945065,"Method for deploying hearing instrument fitting software, and hearing instrument adapted therefor"
152,7944768,Software refreshed memory device and method
153,7944556,Method for correcting a spectral image for optical aberrations using software
154,7944180,Software based thermal charging regulation loop
155,7941783,Software development tool that supports use of a design-time data feed
156,7941450,"Software, devices and methods facilitating execution of server-side applications at mobile devices"
157,7941377,Method and apparatus for metering usage of software products with automatic catalog population
158,7940176,Lock interaction with software to facilitate access to cash handling device functionality
159,7937697,"Method, system and computer program for distributing software patches"
160,7937696,"Method, system and program product for adapting software applications for client devices"
161,7937692,Methods and systems for complete static analysis of software for building a system
162,7937690,Evaluating performance of software application
163,7937685,"Computer software implemented framework for configuration and release management of group systems software, and method for same"
164,7937670,"Data sharing system, method and software tool"
165,7937502,Instrumentation control software
166,7937500,"Dynamic, real-time integration of software resources through services of a content framework"
167,7937458,On-demand software service system and method
168,7937418,Method and system for enhancing software documentation and help systems
169,7937384,Software and method for performing database operations
170,7937358,System and method for building and merging a rulebase with object oriented software
171,7937225,"Systems, methods and software arrangements for detection of genome copy number variation"
172,7937079,"Wireless communication apparatus, wireless communication network and software upgrading method"
173,7937078,"Wireless communication apparatus, wireless communication network and software upgrading method"
174,7937076,Software defined radio for loading waveform components at runtime in a software communications architecture (SCA) framework
175,7936910,"Method, system and software for displaying medical images"
176,7936760,"Method, communications network arrangement, communications network server, terminal, and software means for selecting and changing operating modes for packet-switched voice connection"
177,7934229,Generating options for repairing a computer infected with malicious software
178,7934221,Approach for proactive notification of contract changes in a software service
179,7934214,"Computer implemented method, system and computer program product for controlling software entitlement"
180,7934201,"System, method, and computer readable medium for universal software testing"
181,7934197,Maintaining code integrity in a central software development system
182,7934196,Software component and software component management system
183,7934192,Computer method and apparatus for connection tree routing in visual modeling of software
184,7933991,Preservation of file locks during checkpoint and restart of a mobile software partition
185,7933866,"Systems, methods and software programs for data synchronization"
186,7933862,One click conditional formatting method and system for software programs
187,7933791,Enterprise performance management software system having variable-based modeling
188,7933763,Method and software for extracting chemical data
189,7933668,Wireless industrial control user interface with configurable software capabilities
190,7932910,System and software for performing matrix multiply extract operations
191,7932902,Emitting raster and vector content from a single software component
192,7930727,System and method for measuring and enforcing security policy compliance for software during the development process of the software
193,7930691,Methods and apparatus for updating data structures during in-service upgrade of software in network processor
194,7930688,Scheduling technique for software pipelining
195,7930683,Test automation method for software programs
196,7930677,"Method, system and computer program for tracking software development"
197,7930676,System and method for adapting software elements based on mood state profiling
198,7930661,Software model for a hybrid stacked field programmable gate array
199,7930659,Software verification
200,7930625,Method and system for designing and implementing shapes in a software module
201,7930557,Framework for embedding graphical processing unit programs in computer software
202,7930443,Router having routing engine software instance and interface controller software instance on a single processor
203,7930338,Observer for grid-enabled software applications
204,7930295,Methods and software for analysis of research publications
205,7930164,System and method for simulating a software protocol stack using an emulated protocol over an emulated network
206,7930079,Software system of electronic control unit for vehicle and design method thereof
207,7926114,Testing software applications with schema-based fuzzing
208,7926056,Method for effecting a software service in a system of a software system landscape and computer system
209,7926053,Methods and apparatus for optimizing installation location of software
210,7926050,Secure method to update software in a security module
211,7926049,System and method for determining differences between software configurations
212,7926038,"Method, system and computer program for testing a command line interface of a software product"
213,7926035,Testing multi-thread software using prioritized context switch limits
214,7926034,Application software flight recorder developer client
215,7926033,Method for supporting new network element software versions in an element management system without upgrading
216,7926030,Configurable software application
217,7925984,Remote configuration of intelligent software agents
218,7925929,System and method for generating an orthogonal array for software testing
219,7925718,Method and system for identifying and obtaining computer software from a remote computer
220,7925692,Method and system for testing internet software
221,7925635,System and method for collecting statistics related to software usage
222,7925491,Simulation of installation and configuration of distributed software
223,7925451,Software for the display of chromatographic separation data
224,7924994,Method of operating and configuring a telecommunication system; dispatcher software for identifying a client therein and telecommunication apparatus containing same
225,7924829,Technique for enabling network statistics on software partitions
226,7923690,Method of and software for conducting motion correction in tomographic scanning and system for tomographic scanning using the method
227,7921428,Multi-registration of software library resources
228,7921411,Model checking of non-terminating software programs
229,7921023,Portal for implementation of multiple software components
230,7920823,System capability discovery for software defined radio
231,7920748,Apparatus and software for geometric coarsening and segmenting of still images
232,7919882,"System, method, and computer software code for controlling multiple generators of a powered system"
233,7917947,Secured communication channel between IT administrators using network management software as the basis to manage networks
234,7917927,Method for selecting a program displayed in an advertisement in an application software program
235,7917901,Maintainable dynamic instrumentation technique for changing versions of software
236,7917900,Enabling analysis of software source code
237,7917897,Defect resolution methodology and target assessment process with a software system
238,7917895,Automated software testing and validation system
239,7917887,DDEX (data designer extensibility) default object implementations for software development processes
240,7917815,Multi-layer context parsing and incident model construction for software support
241,7917770,Configurable data masking for software testing
242,7917642,Isochronous audio network software interface
243,7917607,"Software management systems and methods, including use of such systems and methods in a provider-tenant environment"
244,7917349,Combined hardware and software instrument simulator for use as a teaching aid
245,7917297,"Methods, software arrangements, storage media, and systems for genotyping or haplotyping polymorphic genetic loci or strain identification"
246,7917209,"Pulse detection apparatus, software, and methods using patient physiological signals"
247,7917133,Method and apparatus for after-market vending of feature-provisioning software to third party mobile wireless communication devices
248,7916710,"Method, device, system and software product for alternative time division duplex frame structure optimization"
249,7916705,"Method, apparatus, and software product for detecting rogue access points in a wireless network"
250,7913313,Method and system for invisibly embedding into a text document the license identification of the generating licensed software
251,7913310,Device for protecting against unauthorized use of software
252,7913265,Method of loading software with an intermediate object oriented language in a portable device
253,7913252,Portable platform for executing software applications in a virtual environment
254,7913249,Software installation checker
255,7913247,Software updates based on RSS feeds
256,7913246,System and method for updating a software program
257,7913242,"Low cost, open approach for vehicle software installation/updating and on-board diagnostics"
258,7913236,Method and apparatus for performing dynamic optimization for software transactional memory
259,7913232,Certifying software for safety-critical systems
260,7913230,Computer-implemented methods and systems for generating software testing documentation and test results management system using same
261,7913190,"Method, system and software for visualizing 3D models"
262,7913183,System and method for managing software applications in a graphical user interface
263,7913041,Cache reconfiguration based on analyzing one or more characteristics of run-time performance data or software hint
264,7912896,"Data access, replication or communication system comprising a distributed software application"
265,7912559,Software architecture system and method for operating an appliance in multiple operating modes
266,7911625,Printing system software architecture
267,7911409,Independent views generated for multiple display devices by a software application
268,7908662,System and method for auditing software usage
269,7908601,Computer method and apparatus for merging software configurations when a change set spans multiple artifacts
270,7908593,Technique for evaluating software performance online to support online tuning
271,7908583,Evidentiary enrichment of traceability links between software specification requirements
272,7908467,Automatic configuration of equipment software
273,7908398,"Software, method and system for data connectivity and integration having transformation and exchange infrastructure"
274,7908315,Local installation of remote software systems and methods
275,7908296,Integrating object-oriented design software with record-based CAD software
276,7908269,"Method, system, and software for transmission of information"
277,7908222,Method and system for automatically harmonizing access to a software application program via different access devices
278,7908077,Land use compatibility planning software
279,7907607,Software methods of an optical networking apparatus with integrated modules having multi-protocol processors and physical layer components
280,7905779,Video game including effects for providing different first person experiences of the same video game world and a storage medium storing software for the video game
281,7904931,Efficient software bitstream rate generator for video server
282,7904916,Managing multiple data processing systems using existing heterogeneous systems management software
283,7904901,System and method for controlling installed third party software components
284,7904890,Software test coverage metrics
285,7904888,"Method, system and computer program product for tracing software methods"
286,7904887,Learning and cache management in software defined contexts
287,7904875,Configuring and allocating software product technical services
288,7904850,System and method for converting software to a register transfer (RTL) design
289,7904834,Business software navigation control
290,7904802,System and method for software code review
291,7904755,Embedded software testing using a single output
292,7904608,System and method for updating software in electronic devices
293,7904468,Method and software for facilitating interaction with a personal information manager application at a wireless communication device
294,7904416,Provisioning of software components via workflow management systems
295,7904407,Human factors process failure modes and effects analysis (HF PFMEA) software tool
296,7903981,Software-based electro-optic modulator bias control systems and methods
297,7903884,System and computer software program for visibly processing an observed information's relationship with knowledge accumulations
298,7903281,"Methods, apparatus and software for printing location pattern and printed materials"
299,7902511,Method of and software for calculating a scatter estimate for tomographic scanning and system for tomographic scanning
300,7901326,"User-specific performance monitor, method, and computer software product"
301,7900249,"Method, system and software for maintaining network access and security"
302,7900246,Software deactivation based on a deactivation time period
303,7900202,Identification of software execution data
304,7900201,Automated remedying of problems in software application deployments
305,7900199,Method and apparatus for reusing a computer software library
306,7900152,Adaptable user interface for business software
307,7900056,Digital data processing methods and apparatus for management of software installation and execution
308,7900046,System and method for establishing mutual trust on a per-deployment basis between two software modules
309,7900041,Software conditional access system
310,7900034,Booting software partition with network file system
311,7899959,Method of loading software in mobile and desktop environments
312,7899877,Method for dynamically managing multicast sessions for software downloads and related systems
313,7899870,Determination of participation in a malicious software campaign
314,7899798,Observing and reporting changes in complex software dependencies
315,7899513,Modular software system for guided radiation therapy
316,7899179,Method for monitoring off-schedule software agents
317,7895609,"Method for installing driver software, information processing apparatus that employs the method, computer program for performing the method, and storage medium for storing the computer program"
318,7895606,Method for improving temporal consistency and snapshot recency in a monitored real-time software-reporting-application architecture
319,7895582,Facilitating stack read and write operations in a software transactional memory system
320,7895576,Method for automating internationalization software testing
321,7895572,Systems and methods for enterprise software management
322,7895569,System and method for implementing software breakpoints in an interpreter
323,7895565,Integrated system and method for validating the functionality and performance of software applications
324,7895563,Managing reusable software assets
325,7895521,Bandwidth usage and latency reduction of remote desktop software based on preferred rendering of a user selected area
326,7895497,Apparatus and method using reduced memory for channel decoding in a software-defined radio system
327,7895483,Software memory leak analysis using memory isolation
328,7895427,Method and system of executing a software application in highly constrained memory situation
329,7895401,Software transactional memory for dynamically sizable shared data structures
330,7895220,Middleware method and apparatus and program storage device adapted for linking data sources to software applications
331,7895086,Method system and software for ordering goods and/or services over a communication network
332,7895029,System and method of automating the addition of RTL based critical timing path counters to verify critical path coverage of post-silicon software validation tools
333,7894978,Diagnostic system and method for detecting tampering of vehicle software or calibrations
334,7894457,Optical networking module including protocol processing and unified software control
335,7893990,Digital video camera with retractable data connector and resident software application
336,7893930,System for software interaction using handwritten strokes
337,7891012,Method and computer-usable medium for determining the authorization status of software
338,7890954,Method and system for communicating between application software
339,7890952,Autonomic peer-to-peer computer software installation
340,7890950,Software uninstallation that integrates transfer activation
341,7890949,Driver software installing system
342,7890944,Method for sharing static link code by software components in DLL and main program
343,7890929,Methods and system for a tool and instrument oriented software design
344,7890814,Software error report analysis
345,7890808,Testing software applications based on multiple data sources
346,7890544,Metadata driven customization of a software-implemented business process
347,7890475,Common transport logistics for software and content
348,7890464,Processing software images and generating difference files
349,7890446,Software robot apparatus
350,7890430,Technique for license management and online software license enforcement
351,7890221,Method and device for consolidation by software synchronisation in flight control computers
352,7889153,Projection-type display device and software program
353,7886564,"System, method, software arrangement and computer-accessible medium for press-forming of materials"
354,7886292,Methodology of individualized software deployment for hardware-independent personal computer mass development
355,7886288,Method and apparatus for gaming device software configuration
356,7886285,Combining software executable libraries
357,7886272,Prioritize code for testing to improve code coverage of complex software
358,7886267,Multiple-developer architecture for facilitating the localization of software applications
359,7886195,"Apparatus, system, and method of efficiently utilizing hardware resources for a software test"
360,7886193,System and methods for processing software authorization and error feedback
361,7886049,Extensible software tool for investigating peer-to-peer usage on a target device
362,7885929,Continuous integration of business intelligence software
363,7885896,Method for authorizing a substitute software license server
364,7885409,Software radio system and method
365,7885318,"Method, device, system and software product for soft value scaling with receivers in an unsynchronized network"
366,7882493,Software test management program software test management apparatus and software test management method
367,7882488,Software tool for synthesizing a real-time operating system
368,7882441,Apparatus for interoperation between legacy software and screen reader programs
369,7882337,Method and system for efficient tentative tracing of software in multiprocessors
370,7882318,Tamper protection of software agents operating in a vitual technology environment methods and apparatuses
371,7882235,"Session control apparatus, software applied to session control apparatus, communication control method, and network system"
372,7882170,Interfacing a first type of software application to information configured for use by a second type of software application
373,7881745,Electronic device network employing provisioning techniques to update firmware and/or software in electronic devices
374,7881509,"Method of, and apparatus and computer software for, imaging biological objects"
375,7881281,"Border control system, method, and software"
376,7877806,Real time malicious software detection
377,7877801,Method and system to detect malicious software
378,7877783,System and method for secure communications with a remote software program
379,7877780,System and method for enforcing functionality in computer software through policies
380,7877758,"Translator software for monitoring, automation, testing and control"
381,7877744,"Method, software and apparatus for activating resident applications"
382,7877730,Method for effecting a preliminary software service in a productive system of a software system landscape and computer system
383,7877726,Semantic system for integrating software components
384,7877642,Automatic software fault diagnosis by exploiting application signatures
385,7877621,Detecting software attacks by monitoring electric power consumption patterns
386,7877596,Method and computer product to increase accuracy of time-based software verification for sensor networks
387,7877515,Identity assignment for software components
388,7877481,Method and apparatus for overflowing data packets to a software-controlled memory when they do not fit into a hardware-controlled memory
389,7877392,Centralized web-based software solutions for search engine optimization
390,7876902,Distribution of encrypted software update to reduce attack window
391,7876882,Automated software system for beam angle selection in teletherapy
392,7876705,Method and apparatus and program storage device for generating a workflow in response to a user objective and generating software modules in response to the workflow and executing the software modules to produce a product
393,7874916,Security of gaming software
394,7873958,System and methods for providing versioning of software components in a computer programming language
395,7873956,"Communication terminal and communication network for partially updating software, software update method, and software creation device and method therefor"
396,7873955,Solidifying the executable software set of a computer
397,7873944,System and method for maintaining and testing a software application
398,7873941,Manager component that causes first software component to obtain information from second software component
399,7873940,Providing packages for configuring software stacks
400,7873696,Scalable software blade architecture
401,7873606,"Advisor framework, systems, methods and software for implementing the same"
402,7873390,Provider-activated software for mobile communication devices
403,7870613,Automating software security restrictions on applications
404,7870550,Systems and methods for automated management of software application deployments
405,7870547,Method and apparatus for managing patchable software systems
406,7870545,Protecting shared variables in a software transactional memory system
407,7870541,Context tracing for software with a frame pointer and a stack pointer and with a stack pointer but without a frame pointer
408,7870499,System for composing software appliances using user task models
409,7870487,Inserting into a document a screen image of a computer software application
410,7870433,Minimizing software downtime associated with software rejuvenation in a single computer system
411,7870399,Software trusted platform module and application security wrapper
412,7870288,Sharing data in scalable software blade architecture
413,7870245,"Delivery context aware activity on networks: devices, software, and methods"
414,7870233,Efficient software download to configurable communication device
415,7870169,Method for enabling traceability and recovery from errors during migration of software applications
416,7870075,System and method for managing software development
417,7869655,"System, computer software product and method for transmitting and processing handwritten data"
418,7869593,Software for providing based on shared knowledge public keys having same private key
419,7869451,"Method for operating a local computer network connected to a remote private network by an IPsec tunnel, software module and IPsec gateway"
420,7869407,Wireless router and software
421,7869067,Combination scanner and image data reader system including image management and software
422,7865907,Method and apparatus for providing automatic software updates
423,7865892,"Program, recording medium, and device for installing software"
424,7865890,"Electronic apparatus, a network apparatus, a management method, a software updating method, a management program, a software updating program, and a recording medium"
425,7865889,Systems and methods for verifying the compatibility of software with a group of managed nodes
426,7865888,Systems and methods for gathering deployment state for automated management of software application deployments
427,7865878,Method and apparatus for operating enterprise software from a detachable storage device
428,7865877,Computer method and apparatus for referencing files in a software configuration management system
429,7865875,Programming toolkit for developing case management software applications
430,7865874,System and method for information collection for an adaptive software dependency model
431,7865829,Providing software application help based on heuristics
432,7865710,"Software recovery without the use of a keyboard, mouse, trackball or computer monitor"
433,7865583,Aggregating network activity using software provenance data
434,7865528,"Software, devices and methods facilitating execution of server-side applications at mobile devices"
435,7865442,Distributing and billing software according to customer use of program modules
436,7865441,Switching between multiple versions of a software program
437,7865166,Software radio transceiver
438,7864832,Multi-code correlation architecture for use in software-defined radio systems
439,7864702,Control and recruitment of client peripherals from server-side software
440,7864477,"Circuits, architectures, apparatuses, systems, algorithms and methods and software for automatic gain calibration of a burst signal stream"
441,7864133,Method and system for software defined antenna control
442,7864109,Method and spread spectrum software receiver for satellite navigation
443,7861306,Method and system for limiting the use of user-specific software features
444,7861305,Method and system for hardware based program flow monitor for embedded software
445,7861252,Intelligent software agent system architecture
446,7861245,Method and apparatus for facilitating recognition of an open event window during operation of guest software in a virtual machine environment
447,7861239,Data migration between versions of software
448,7861237,Reducing unnecessary software transactional memory operations on newly-allocated data
449,7861236,System and method for version control for software development
450,7861233,Transparent context switching for software code
451,7861227,Software development environment with design specification validation tool
452,7861226,Constraint solver to code based test data generation for improving software reliability and security
453,7861178,System and method for dynamic assistance in software applications using behavior and host application models
454,7861177,Software configuration program for software applications
455,7861121,Method and system for monitoring and verifying software drivers
456,7860880,"System, method and process for managing problems and risks associated with a construction project using project-specific software and project notice forms relative to the construction contract"
457,7860825,Method for synchronizing software application and user data for asynchronous client-server and peer to peer computer networks
458,7860765,System and method for assessing risks of a software solution for a customer
459,7860747,Method system of software for publishing images on a publicly available website and for ordering of goods or services
460,7860723,Using a software application to configure a foam spring mattress
461,7860239,Method and apparatus for metering usage of software products using multiple signatures
462,7857217,Link software object to sticker
463,7856927,"Digital offset printing method, electrophotographic machine and software for causing an electrophotographic machine to carry out such a method"
464,7856661,Classification of software on networked systems
465,7856637,Runtime emulating static thread local storage of portable executable software code
466,7856631,Software delivery manager
467,7856628,Method for simplifying compiler-generated software code
468,7856624,Automated safe secure techniques for eliminating undefined behavior in computer software
469,7856617,"Method, system and computer program product for creating software for processing an insurance claim"
470,7856616,Action-based in-process software defect prediction software defect prediction techniques based on software development activities
471,7856615,Computer method and apparatus for managing software configurations using change flow hierarchies
472,7856611,Reconfigurable interconnect for use in software-defined radio systems
473,7856537,Hybrid hardware and software implementation of transactional memory access
474,7856505,Instantiating a communication pipeline between software
475,7856138,"System, method and computer software product for inspecting charged particle responsive resist"
476,7854008,Software-hardware partitioning in a virus processing system
477,7853941,Process for automatic matching of software
478,7853932,"System, method and computer program product for checking a software entity"
479,7853925,System and method for managing hierarchical software development
480,7853812,Reducing power usage in a software application
481,7853776,Handover between software and hardware accelerator
482,7853609,Update distribution system architecture and method for distributing software
483,7853579,"Methods, systems and software for identifying and managing database work"
484,7853556,Navigating a software project respository
485,7853025,"Vehicular audio system including a headliner speaker, electromagnetic transducer assembly for use therein and computer system programmed with a graphic software control for changing the audio system's signal level and delay"
486,7852078,"Method, system and software arrangement for measuring magnetic field correlation"
487,7849513,Method and system for authorizing use of software programs
488,7849511,Determining authorized use of a software application
489,7849458,Technique for installing software by producing an access code and installation key
490,7849457,"Process for automatic & unattended formatting and re-installation of operative system, OS updates, drivers and re-installation of software applications, launched from a website as a digital service"
491,7849453,Method and apparatus for software scouting regions of a program
492,7849443,Method and apparatus for managing selective and subtractive merges in a software configuration
493,7849438,Enterprise software development process for outsourced developers
