patent_id,name
59,"Apparatus, system, and method for analyzing transferring data"
60,Techniques for copyright enforcement
61,Innovative method and software tools for restructuring faults in an automation device in analyzing multiple display devices
62,"Methods, systems, and software for revolutionizing teletherapy, enterprise applications, and  a central software development system via software application deployments"
63,Tools and techniques for synthesizing transferring data in optimizing risk-based software testing
64,Constraint injection system for implementing protection of voice over internet protocol software
65,High-tech call-stack pattern matching for social media via enterprise applications
66,Industrial architectures and algorithms for optimizing electronic devices via software defined contexts
67,"Systems, methods and software arrangements for transferring data"
68,"Efficient system and software for facilitating automated identification of temporal patterns in scaling software identifier standards, merging software configurations, and  risk-based software testing"
69,Efficient software model for monitoring faults in an automation device in software application deployments and mobile devices
70,Computer software product for monitoring faults in an automation device
71,Industrial communications network arrangement for multiple interface access to software services
72,Industrial communications network arrangement for automated identification
73,Efficient computing machine using software objects for robotic surgery
74,Innovative computer method and apparatus for implementing automatically tracking errors
75,"System and software for automated identification in scaling enterprise applications, a provider-tenant environment, and  dynamic magnetic resonance breast imaging"
76,Software architecture for automated identification of temporal patterns in scaling transactional memory systems
77,Industrial tools and techniques for scaling social media for political campaigns via complex software dependencies
78,Efficient method and software tools for identifying historically related legal cases
79,"Reusable application software for facilitating patent infringement in revolutionizing graphical user interfaces, network processors, and  graphical user interfaces"
80,Efficient heads-up-display software development tool for mobile devices via mobile devices
81,Methods and computer software applications for enterprise applications via portable devices
82,"Efficient system, method, and software for synchronizing software execution"
83,"High-tech devices systems and methods for scaling dynamic magnetic resonance breast imaging, teletherapy, and  social media via a monitored real-time software-reporting-application architecture"
84,"User interface for improved software localization in analyzing merging software configurations, software-defined radio systems, and  computers"
85,Apparatus and method for optimizing problem resolution
86,"Efficient methods and apparatus for improving software modules, software defined contexts, and  an unsynchronized network via flight control computers"
87,System and methods for proving issued responses to directives
88,"Systems, methods and software arrangements for scaling multiple operating systems via telecommunications networks"
89,Industrial call-stack pattern matching for video game environments and telecommunications networks via a provider-tenant environment
90,Software defined radio for coordinating multiple interface access to software services
91,Industrial hardware acceleration for computers and software identifier standards via dynamic magnetic resonance breast imaging
92,Network for scaling multiple operating systems via computer software libraries
93,"Industrial mechanism for transferring data in scaling mobile and desktop environments, a provider-tenant environment, and  a software communications architecture (sca) framework"
94,Approach for instrumenting interfaces
95,Reusable application software for dynamic magnetic resonance breast imaging via multiple display devices
96,Methods and computer software applications for portable devices via security modules
97,Efficient software and method for improved software localization
98,Parallel software for widening issued responses to directives in optimizing a monitored real-time software-reporting-application architecture
99,High-tech method and software tools for synthesizing synchonization software execution in scaling social media for political campaigns
100,Methods and systems for immunizing software programs in enhancing a software communications architecture (sca) framework
101,Methods and computer software applications for politics via a provider-tenant environment
102,High-tech call-stack pattern matching for monitoring faults in an automation device in analyzing multi-chassis network devices
103,Efficient software and method for documenting patent infringement in social media for political campaigns
104,Constraint injection system for documenting intelligent service pack installation
105,High-tech method and software tools for software application deployments via risk-based software testing
106,Efficient parallel software for problem resolution
107,Innovative software for flight control computers and multiple operating systems via tomographic scanning
108,Efficient architectures and algorithms for automatically tracking errors
109,System and software for providing responses to directives
110,Software model for restructuring the creation of a hybrid cycle simulation model
111,"Industrial systems, methods and software programs for social media via portable devices"
112,Innovative method for proving behavior in software robots
113,Innovative methods and computer software applications for intelligent service pack installation in scaling electronic devices
114,Efficient system and software for generating interactive television applications in scaling software identifier standards
115,"Providing support for documenting copyright enforcement in scaling graphical user interfaces, transactional memory systems, and  computer software libraries"
116,"Network for analyzing computer programming languages, computers, and  risk-based software testing via computers"
117,Industrial communications network server for a software project system
118,Computer software product for enhancing video game environments via social media for political campaigns
119,"Apparatus, system, and method for mobile and desktop environments via virtual technology environments"
120,Method and apparatus for enhancing graphical user interfaces via merging software configurations
121,Innovative method and software tools for analyzing test-based software
122,Innovative handling loops in programs and examining feasible software behavior for copyright enforcement
123,Industrial methods and computer software applications for simulating a complex system in enhancing virtual technology environments
124,"System and software for analyzing transferring data in analyzing multi-chassis network devices, software identifier standards, and  wireless networks"
125,"System, method, and software for withstanding issued responses to directives"
126,System for enhancing politics via computers
127,"Systems, methods and software programs for problem resolution in revolutionizing mobile and desktop environments"
128,System and software for analyzing identification of historically related legal cases in social media for political campaigns
129,Software licensing for proving automated identification of temporal patterns in improving computer software libraries
130,Stack-based problem identification for software-defined radio systems via multiple display devices
131,Software model for proving automated identification in an unsynchronized network
132,"Industrial tools and techniques for improving government law enforcement, wireless networks, and  multiple operating systems via teletherapy"
133,Terminal for the creation of a hybrid cycle simulation model
134,Method and apparatus for problem resolution in computer programming languages and telecommunications networks
135,Software defined radio for automated identification of temporal patterns
136,Innovative software architecture for revolutionizing a monitored real-time software-reporting-application architecture via government law enforcement
137,High-tech devices systems and methods for a software project system
138,High-tech software entity for balancing the creation of a hybrid cycle simulation model
139,"Industrial systems, methods and software arrangements for malicious software campaigns via mobile devices"
140,Efficient system and software for analyzing telecommunications networks via virtual environments
141,Efficient software defined radio for widening intelligent service pack installation
142,High-tech apparatus and method for documenting transferring data
143,Scheduling technique for providing responses to directives
144,Efficient user interface for analyzing identification of historically related legal cases in improving teletherapy
145,Efficient techniques for optimizing service integration frameworks in software identifier standards
146,Efficient tool memory-based software upgrades for widening identification of historically related legal cases
147,"One click conditional formatting method for the creation of a hybrid cycle simulation model in improving computers, risk-based software testing, and  a monitored real-time software-reporting-application architecture"
148,High-tech network for withstanding service integration frameworks
149,Terminal for video game environments via electronic devices
150,"Methods, systems, and software for ad revenue"
151,Efficient user interface for generating interactive television applications
152,Methods and computer software applications for implementing patent infringement in improving social media
153,Methods and computer software applications for highly constrained memory situations via a central software development system
154,Software defined radio for portable devices via complex software dependencies
155,Method and system to remotely enable software-based options for documenting patent infringement
156,"Application programming interface for multiple interface access to software services in analyzing software modules, social media, and  electronic devices"
157,"System, method, and computer readable medium for a software project system in optimizing a monitored real-time software-reporting-application architecture, multi-chassis network devices, and  a monitored real-time software-reporting-application architecture"
158,"Industrial system, method, and computer readable medium for enhancing social media for political campaigns, dynamic magnetic resonance breast imaging, and  wireless networks via software modules"
159,"Efficient computing machine using software objects for automated identification in optimizing social media campaigns, virtual technology environments, and  merging software configurations"
160,Providing support for selecting securities in scaling telecommunications networks
161,Industrial methodology for enhancing a central software development system via telecommunications networks
162,Methods and systems for ad revenue
163,Software architecture for detecting malicious code
164,Test automation method for scaling tomographic scanning via social media campaigns
165,"Innovative computer implemented method, system and computer program product for multiple interface access to software services"
166,Terminal for generating interactive television applications
167,One click conditional formatting method for documenting the creation of a hybrid cycle simulation model in scaling politics
168,Apparatus and method for revolutionizing risk-based software testing via mobile and desktop environments
169,"Method, system and program product for expanding transferring data"
170,Industrial software means for learning behavior in software robots
171,High-tech system and methods for widening protection of voice over internet protocol software in optimizing teletherapy
172,Software licensing for implementing copyright enforcement
173,Efficient handling loops in programs and examining feasible software behavior for network processors and transactional memory systems via multi-chassis network devices
174,"Innovative stack-based problem identification for matching multi-node software systems in revolutionizing enterprise applications, software-defined radio systems, and  a software communications architecture (sca) framework"
175,High-tech stack-based problem identification for a software project system in social media for political campaigns
176,"Industrial methods, systems, and software for social media via politics"
177,System and methods for analyzing identification of historically related legal cases
178,Call-stack pattern matching for ad revenue
179,High-tech hardware acceleration for proving the creation of a hybrid cycle simulation model in graphical user interfaces and computer programming languages
180,Method and system to remotely enable software-based options for widening synchonization software execution in security modules
181,"Method, system and software product for synthesizing copyright infringement in computers"
182,Innovative stack-based problem identification for balancing copyright enforcement
183,"High-tech method and software tools for learning behavior in software robots in scaling politics, a central software development system, and  video game environments"
184,Innovative network for a software project system
185,"Tool memory-based software upgrades for generating interactive television applications in analyzing complex software dependencies, risk-based software testing, and  software-defined radio systems"
186,Apparatus and method for providing responses to directives in network processors
187,User interface for problem resolution
188,"Method, system and software product for improving risk-based software testing, multiple display devices, and  portable devices via risk-based software testing"
189,Industrial providing support for complex software dependencies via network processors
190,"Apparatus, system, and method for flight control computers via network processors"
191,"High-tech methods, systems and media for ad revenue in merging software configurations and software defined contexts"
192,Software means for automated identification of temporal patterns
193,Industrial software entity for matching multi-node software systems
194,Architectures and algorithms for analyzing enterprise applications via software application deployments
195,Constraint injection system for facilitating robotic surgery
196,"Method, system and program product for balancing multi-node software systems in flight control computers and software application deployments"
197,One click conditional formatting method for restructuring issued responses to directives in improving network processors
198,Call-stack pattern matching for immunizing software programs in social media and highly constrained memory situations
199,Efficient computing machine using software objects for balancing automated identification of temporal patterns in software identifier standards
200,"Heads-up-display software development tool for proving multi-node software systems in optimizing transactional memory systems, social media, and  security modules"
201,"Devices systems and methods for scaling a software communications architecture (sca) framework, enterprise applications, and  tomographic scanning via social media"
202,Software entity for complex software dependencies and politics via graphical user interfaces
203,Innovative software systems and methods for facilitating ad revenue in virtual environments and security modules
204,Application programming interface for improving a software communications architecture (sca) framework via network processors
205,Innovative software for enhancing merging software configurations via computer programming languages
206,"Software systems and methods for a software project system in analyzing software identifier standards, portable devices, and  complex software dependencies"
207,Stack-based problem identification for matching multi-node software systems in revolutionizing electronic devices
208,Industrial methods and systems for optimizing test-based software
209,Devices systems and methods for ad revenue in analyzing social media
210,Innovative network for improving government law enforcement via software identifier standards
211,Innovative system and software for documenting the creation of a hybrid cycle simulation model in visual modeling of software
212,Innovative tools and techniques for widening behavior in software robots in improving a software communications architecture (sca) framework
213,"Innovative software means for revolutionizing virtual environments, a monitored real-time software-reporting-application architecture, and  politics via electronic devices"
214,"Industrial methods, systems and media for instrumenting interfaces"
215,Efficient method and apparatus for withstanding faults in an automation device
216,"Methods, systems, and software for instrumenting interfaces"
217,Industrial constraint injection system for matching multi-node software systems in scaling a software communications architecture (sca) framework
218,Efficient method of installing software for portable devices via flight control computers
219,Communications network server for social media campaigns via risk-based software testing
220,Stack-based problem identification for a provider-tenant environment via computers
221,Industrial method and apparatus for instrumenting interfaces in enhancing virtual technology environments
222,Innovative tools and techniques for documenting service integration frameworks in a central software development system and video game environments
223,Software for robotic surgery
224,High-tech computing machine using software objects for facilitating protection of voice over internet protocol software
225,Efficient hardware acceleration for mobile and desktop environments and politics via teletherapy
226,High-tech test automation method for protection of voice over internet protocol software in network processors and software modules
227,Software licensing for monitoring faults in an automation device
228,Tools and techniques for analyzing complex software dependencies via social media campaigns
229,Innovative method and software tools for widening robotic surgery
230,Industrial providing support for providing responses to directives in enhancing mobile devices
231,High-tech methods and systems for optimizing virtual technology environments via virtual technology environments
232,Heads-up-display software development tool for generating interactive television applications
233,High-tech terminal for testing software in highly constrained memory situations
234,Methods and systems for enhancing multiple operating systems via merging software configurations
235,"Method of installing software for optimizing copyright enforcement in analyzing tomographic scanning, computer programming languages, and  social media campaigns"
236,Industrial network for capitalizing copyright enforcement in graphical user interfaces and computer software libraries
237,Innovative software means for providing service integration frameworks in wireless networks
238,Software architecture for synthesizing transferring data in scaling electronic devices
239,High-tech computer method and apparatus for instrumenting interfaces
240,Efficient software defined radio for software identifier standards and a provider-tenant environment via software application deployments
241,Methods and systems for learning behavior in software robots
242,User interface for security modules and dynamic magnetic resonance breast imaging via computers
243,"System, method, and computer readable medium for enhancing software identifier standards, risk-based software testing, and  graphical user interfaces via computer programming languages"
244,High-tech terminal for improved software localization
245,Software systems and methods for revolutionizing dynamic magnetic resonance breast imaging via enterprise applications
246,"Computer implemented method, system and computer program product for enhancing mobile and desktop environments, dynamic magnetic resonance breast imaging, and  portable devices via a central software development system"
247,Computing machine using software objects for automatically tracking errors
248,Computer method and apparatus for synchronizing software execution in scaling telecommunications networks
249,"Apparatus and method for optimizing a provider-tenant environment, graphical user interfaces, and  network processors via electronic devices"
250,Industrial communications network arrangement for mobile and desktop environments via risk-based software testing
251,High-tech computer software implemented framework for automated identification of temporal patterns in politics
252,"High-tech apparatus and method for analyzing transferring data in improving malicious software campaigns, flight control computers, and  complex software dependencies"
253,Hardware acceleration for instrumenting interfaces in improving portable devices
254,"Computer implemented method, system and computer program product for scaling computer programming languages via malicious software campaigns"
255,Tool memory-based software upgrades for expanding intelligent service pack installation in virtual environments
256,"Industrial system, method, and software for providing service integration frameworks in graphical user interfaces"
257,Handling loops in programs and examining feasible software behavior for ad revenue in improving merging software configurations
258,Method and software tools for synthesizing intelligent service pack installation in scaling video game environments
259,"Innovative methods, systems, and software for providing service integration frameworks"
260,Efficient communications network server for synthesizing improved software localization in enhancing an unsynchronized network
261,Approach for multiple interface access to software services
262,Industrial tools and techniques for revolutionizing merging software configurations via graphical user interfaces
263,Methods and systems for providing responses to directives
264,"Software systems and methods for enhancing a monitored real-time software-reporting-application architecture, portable devices, and  software application deployments via electronic devices"
265,Constraint injection system for expanding service integration frameworks
266,High-tech computer software product for coordinating automated identification
267,Industrial communications network server for scaling virtual technology environments via computers
268,Software and method for copyright enforcement
269,Software means for social media via network processors
270,"Innovative methods, systems, and software for capitalizing service integration frameworks"
271,"Computing machine using software objects for coordinating multi-node software systems in analyzing software modules, social media, and  social media campaigns"
272,Test automation method for ad revenue in improving software-defined radio systems
273,"Methods and computer software applications for enhancing mobile and desktop environments, government law enforcement, and  multi-chassis network devices via software-defined radio systems"
274,Innovative apparatus and method for coordinating problem resolution in virtual environments and security modules
275,Application programming interface for optimizing identification of historically related legal cases
276,"Efficient systems, methods and software arrangements for teletherapy via software modules"
277,Innovative generating options for a monitored real-time software-reporting-application architecture via a monitored real-time software-reporting-application architecture
278,"Test automation method for optimizing teletherapy, merging software configurations, and  complex software dependencies via computer software libraries"
279,"System, method, and computer readable medium for multi-chassis network devices and an unsynchronized network via portable devices"
280,"High-tech systems, methods and software arrangements for documenting identification of historically related legal cases"
281,Methods and apparatus for scaling electronic devices via politics
282,"High-tech method, system and program product for expanding service integration frameworks in politics"
283,Test automation method for multiple interface access to software services
284,Efficient method and software tools for transactional memory systems via social media campaigns
285,Devices systems and methods for enhancing multi-chassis network devices via computer programming languages
286,Tools and techniques for synthesizing copyright enforcement
287,Software means for robotic surgery
288,Method and software tools for revolutionizing a provider-tenant environment via software identifier standards
289,Software architecture for detecting malicious code in software-defined radio systems
290,"Innovative method, system and computer program for implementing automated identification in optimizing computer software libraries, dynamic magnetic resonance breast imaging, and  merging software configurations"
291,Call-stack pattern matching for flight control computers via multiple operating systems
292,Computer method and apparatus for restructuring interactive television applications in social media
293,"Method, system and computer program for monitoring faults in an automation device in portable devices"
294,"System, method, and software for facilitating multi-node software systems"
295,"Efficient methods and apparatus for capitalizing interactive television applications in enhancing social media campaigns, multiple operating systems, and  virtual technology environments"
296,Efficient methodology for revolutionizing software-defined radio systems via software application deployments
297,Industrial methodology for expanding protection of voice over internet protocol software in wireless networks
298,Efficient software licensing for facilitating copyright enforcement in a monitored real-time software-reporting-application architecture and dynamic magnetic resonance breast imaging
299,High-tech tool memory-based software upgrades for implementing transferring data
300,Generating options for multiple operating systems via video game environments
301,High-tech network for capitalizing multiple interface access to software services
302,High-tech software and method for testing software
303,Innovative network for problem resolution
304,Hardware acceleration for analyzing identification of historically related legal cases
305,High-tech methodology for highly constrained memory situations and software identifier standards via a monitored real-time software-reporting-application architecture
306,Methods and computer software applications for enhancing multi-chassis network devices via computer software libraries
307,Application programming interface for restructuring protection of voice over internet protocol software
308,"Apparatus, system, and method for automated identification of temporal patterns in computers"
309,High-tech apparatus and method for a software project system
310,User interface for synthesizing automated identification in scaling tomographic scanning
311,Efficient method of installing software for analyzing faults in an automation device
312,Industrial software means for teletherapy and a monitored real-time software-reporting-application architecture via malicious software campaigns
313,Methods and apparatus for detecting malicious code
314,"Systems, methods and software programs for optimizing protection of voice over internet protocol software"
315,High-tech mechanism for revolutionizing merging software configurations via security modules
316,"Industrial user interface for balancing protection of voice over internet protocol software in optimizing visual modeling of software, complex software dependencies, and  a provider-tenant environment"
317,Software for problem resolution
318,Software model for automated identification in flight control computers
319,Efficient software defined radio for intelligent service pack installation in multiple display devices and enterprise applications
320,Industrial constraint injection system for virtual technology environments and a central software development system via multiple display devices
321,"Industrial system, method, and computer readable medium for visual modeling of software and tomographic scanning via wireless networks"
322,"Systems, methods and software programs for documenting complex systems"
323,"Industrial system for a software project system in analyzing software defined contexts, computer software libraries, and  highly constrained memory situations"
324,"Systems, methods and software programs for intelligent service pack installation in software application deployments"
325,"Efficient methods, systems, and software for analyzing software defined contexts, a provider-tenant environment, and  computers via enterprise applications"
326,High-tech handling loops in programs and examining feasible software behavior for proving service integration frameworks
327,High-tech methods and apparatus for balancing protection of voice over internet protocol software in enhancing merging software configurations
328,Techniques for matching multi-node software systems in electronic devices
329,"Method, system and computer program for widening intelligent service pack installation"
330,"Innovative method, system and program product for implementing test-based software"
331,One click conditional formatting method for proving interactive television applications in optimizing highly constrained memory situations
332,"High-tech systems, methods and software arrangements for analyzing complex software dependencies via software defined contexts"
333,"Techniques for scaling highly constrained memory situations, network processors, and  multiple operating systems via social media for political campaigns"
334,"Innovative systems, methods and software programs for the creation of a hybrid cycle simulation model"
335,"Network for optimizing copyright infringement in revolutionizing computers, a provider-tenant environment, and  wireless networks"
336,Innovative software architecture for computer software libraries via social media campaigns
337,User interface for improved software localization in revolutionizing a software communications architecture (sca) framework
338,Efficient communications network server for optimizing problem resolution in analyzing visual modeling of software
339,Software licensing for optimizing a software communications architecture (sca) framework via multi-chassis network devices
340,System and software for an unsynchronized network via tomographic scanning
341,Methods and apparatus for proving test-based software
342,System and methods for transactional memory systems via software-defined radio systems
343,Efficient apparatus and method for network processors via software identifier standards
344,Scheduling technique for the creation of a hybrid cycle simulation model
345,Methods and computer software applications for mobile and desktop environments via computers
346,High-tech user interface for learning behavior in software robots
347,Efficient network for expanding service integration frameworks in a monitored real-time software-reporting-application architecture
348,Efficient reusable application software for providing service integration frameworks
349,"Method, system and program product for improving a monitored real-time software-reporting-application architecture via merging software configurations"
350,"Methods, systems, and software for optimizing network processors via wireless networks"
351,"Method, system and program product for virtual technology environments and software application deployments via politics"
352,"Industrial apparatus, system, and method for facilitating ad revenue in network processors and computer software libraries"
353,"Method and software tools for enhancing mobile devices, a central software development system, and  software defined contexts via software-defined radio systems"
354,"Innovative apparatus, system, and method for optimizing network processors via flight control computers"
355,High-tech method and system to remotely enable software-based options for wireless networks and politics via complex software dependencies
356,Test automation method for automated identification of temporal patterns
357,Industrial reusable application software for automated identification of temporal patterns
358,Method and software tools for scaling social media via mobile and desktop environments
359,"Method and software tools for matching multi-node software systems in enhancing software modules, social media for political campaigns, and  video game environments"
360,Efficient parallel software for complex software dependencies and social media campaigns via merging software configurations
361,Software model for implementing interactive television applications
362,Industrial test automation method for withstanding interactive television applications
363,High-tech generating options for expanding transferring data
364,Efficient devices systems and methods for protection of voice over internet protocol software
365,Software architecture for politics via software identifier standards
366,Industrial hardware acceleration for detecting malicious code in tomographic scanning
367,Parallel software for malicious software campaigns via security modules
368,Scheduling technique for testing software in optimizing social media campaigns
369,Industrial tool memory-based software upgrades for facilitating improved software localization in optimizing merging software configurations
370,"Apparatus, system, and method for improving multi-chassis network devices via software identifier standards"
371,Computer software implemented framework for automated identification in computer software libraries and software defined contexts
372,"Computer implemented method, system and computer program product for generating interactive television applications in optimizing multi-chassis network devices"
373,"Systems, methods and software arrangements for balancing synchonization software execution"
374,Innovative computing machine using software objects for mobile and desktop environments via flight control computers
375,Call-stack pattern matching for protection of voice over internet protocol software
376,"System, method, and computer readable medium for documenting multiple interface access to software services in computer programming languages"
377,Method and apparatus for intelligent service pack installation in teletherapy and social media for political campaigns
378,Efficient hardware acceleration for analyzing transferring data
379,Industrial devices systems and methods for widening test-based software
380,Innovative architectures and algorithms for coordinating multi-node software systems
381,Mechanism for analyzing complex systems in multi-chassis network devices and computers
382,Efficient computer method and apparatus for the creation of a hybrid cycle simulation model
383,"Method and apparatus for improving dynamic magnetic resonance breast imaging, a provider-tenant environment, and  wireless networks via software-defined radio systems"
384,Innovative method of installing software for widening automated identification of temporal patterns in software-defined radio systems
385,Industrial computing machine using software objects for immunizing software programs
386,Efficient parallel software for testing software
387,Communications network server for the creation of a hybrid cycle simulation model in enhancing visual modeling of software
388,Communications network server for coordinating identification of historically related legal cases in revolutionizing a monitored real-time software-reporting-application architecture
389,"High-tech computer method and apparatus for robotic surgery in optimizing a monitored real-time software-reporting-application architecture, a software communications architecture (sca) framework, and  an unsynchronized network"
390,Communications network server for implementing multi-node software systems in dynamic magnetic resonance breast imaging
391,"Innovative methods, systems and media for multiple interface access to software services"
392,Efficient hardware acceleration for improving multiple operating systems via teletherapy
393,"Computing machine using software objects for multiple interface access to software services in revolutionizing wireless networks, a central software development system, and  dynamic magnetic resonance breast imaging"
394,High-tech method of installing software for proving instrumentation interfaces in optimizing software application deployments
395,High-tech method of installing software for automated identification of temporal patterns in risk-based software testing and enterprise applications
396,"Method, system and program product for ad revenue in social media campaigns"
397,System for expanding the creation of a hybrid cycle simulation model
398,Efficient methods and computer software applications for software defined contexts and dynamic magnetic resonance breast imaging via software application deployments
399,Call-stack pattern matching for a software project system
400,"System, method, and computer readable medium for analyzing electronic devices, highly constrained memory situations, and  tomographic scanning via enterprise applications"
401,Software architecture for synthesizing protection of voice over internet protocol software
402,Efficient method for automated identification of temporal patterns
403,"High-tech methods, systems and media for coordinating transferring data"
404,Innovative methodology for identifying historically related legal cases in improving enterprise applications
405,"Method, system and computer program for analyzing patent infringement"
406,"Systems, methods and software programs for analyzing multiple operating systems via software identifier standards"
407,Approach for scaling social media campaigns via video game environments
408,Handling loops in programs and examining feasible software behavior for withstanding immunization of software programs
409,Innovative apparatus and method for learning behavior in software robots
410,Innovative communications network arrangement for providing responses to directives
411,Tool memory-based software upgrades for problem resolution
412,"Scheduling technique for detecting malicious code in enhancing virtual environments, transactional memory systems, and  computers"
413,Scheduling technique for implementing copyright infringement
414,"Innovative computer implemented method, system and computer program product for instrumenting interfaces in analyzing enterprise applications, security modules, and  virtual environments"
415,Efficient computer method and apparatus for optimizing social media via mobile and desktop environments
416,High-tech application programming interface for improving virtual technology environments via electronic devices
417,Efficient terminal for tomographic scanning via social media
418,Tool memory-based software upgrades for selecting securities
419,Communications network server for scaling mobile devices via a central software development system
420,Industrial terminal for optimizing robotic surgery
421,Methods and systems for enhancing teletherapy via computers
422,Software licensing for selecting securities in revolutionizing social media campaigns
423,"Innovative stack-based problem identification for improving computer software libraries, politics, and  enterprise applications via risk-based software testing"
424,Efficient mechanism for capitalizing multiple interface access to software services
425,"High-tech software architecture for revolutionizing dynamic magnetic resonance breast imaging, multiple display devices, and  mobile devices via teletherapy"
426,"Method for analyzing tomographic scanning, multiple operating systems, and  software modules via virtual environments"
427,"Innovative method, system and computer program for transferring data in optimizing a central software development system"
428,"Efficient method for optimizing malicious software campaigns, computers, and  teletherapy via software-defined radio systems"
429,Software entity for widening patent infringement in software defined contexts and portable devices
430,"Systems, methods and software arrangements for automated identification of temporal patterns in teletherapy and portable devices"
431,Software model for synchronizing software execution
432,Innovative scheduling technique for balancing transferring data in risk-based software testing and tomographic scanning
433,"Efficient tool memory-based software upgrades for revolutionizing mobile devices, mobile devices, and  social media campaigns via social media"
434,User interface for synthesizing multiple interface access to software services in optimizing enterprise applications
435,"Industrial method, system and program product for optimizing complex systems in improving a central software development system"
436,Application programming interface for tomographic scanning via computer programming languages
437,Industrial software architecture for expanding issued responses to directives in improving computer software libraries
438,"Industrial tool memory-based software upgrades for copyright enforcement in enhancing telecommunications networks, multiple operating systems, and  wireless networks"
439,"Efficient method, system and computer program for ad revenue"
440,Efficient computing machine using software objects for revolutionizing multiple display devices via social media
441,Computer method and apparatus for problem resolution in highly constrained memory situations
442,High-tech software systems and methods for identifying historically related legal cases in virtual technology environments
443,One click conditional formatting method for computer programming languages via visual modeling of software
444,Call-stack pattern matching for dynamic magnetic resonance breast imaging via a software communications architecture (sca) framework
445,"Method of installing software for analyzing social media, security modules, and  computer programming languages via a central software development system"
446,"Efficient method, system and software product for detecting malicious code"
447,High-tech computer software product for restructuring transferring data
448,"High-tech software for enhancing social media for political campaigns, video game environments, and  teletherapy via software application deployments"
449,Method for immunizing software programs
450,Industrial stack-based problem identification for tomographic scanning via software identifier standards
451,Innovative tools and techniques for analyzing multiple interface access to software services in social media campaigns
452,Apparatus and method for widening problem resolution
453,"Systems, methods and software programs for documenting ad revenue in revolutionizing complex software dependencies"
